dataset,model,input_type,horizon,horizon_index,mean_mae,std_mae,mean_rmse,std_rmse,mean_wape,std_wape,num_runs
ETTh1,dlinear,multivariate,24,0,0.5165945573588294,0.009421226440881267,0.7066557818915173,0.008001881867525104,6.581461227835163,0.1200272741089796,3
ETTh1,dlinear,multivariate,24,1,0.6928605348230765,0.011457827038835917,0.9475260391403927,0.017184892997475953,8.825108537059076,0.14594072274934503,3
ETTh1,dlinear,multivariate,24,2,0.8387187507338835,0.02673933206584774,1.1369579240700622,0.02733275746850577,10.680717265094492,0.3405137245386451,3
ETTh1,dlinear,multivariate,24,3,0.9637354343130203,0.04463623766868208,1.2907889805919575,0.040300156183080665,12.270791079476455,0.5683322699415808,3
ETTh1,dlinear,multivariate,24,4,1.0719547152764572,0.0641728387899481,1.4232317935128043,0.05332784848793538,13.645900247717803,0.8169152523524887,3
ETTh1,dlinear,multivariate,24,5,1.1599397696556732,0.053704000363246185,1.5286713528073494,0.0497916747318346,14.762957805175226,0.6835095339192238,3
ETTh1,dlinear,multivariate,24,6,1.2450370217447952,0.06418173814797866,1.6302390924193855,0.05935198444055592,15.842522464763112,0.8166830469120921,3
ETTh1,dlinear,multivariate,24,7,1.3269543723434445,0.049585156770138666,1.7307714721195568,0.044700060137207585,16.881471337594256,0.6308207879875466,3
ETTh1,dlinear,multivariate,24,8,1.4086037717999862,0.08548397904724037,1.8241145215466037,0.07243867674846512,17.916735123081427,1.0873134379721974,3
ETTh1,dlinear,multivariate,24,9,1.4538887847015716,0.08180150172982491,1.8781262346895293,0.06629540530183423,18.488904269394464,1.0402584781516693,3
ETTh1,dlinear,multivariate,24,10,1.492320521971304,0.058123397308773576,1.9289084852047012,0.04676702304438657,18.973802475999847,0.7389979857101621,3
ETTh1,dlinear,multivariate,24,11,1.5093522731442235,0.040183105409851615,1.9632983427654072,0.033651532107603084,19.186423349628637,0.5107953163843657,3
ETTh1,dlinear,multivariate,24,12,1.5740770231816594,0.04995839207624015,2.030805250415399,0.03971949365203897,20.00493340939428,0.6349208405986959,3
ETTh1,dlinear,multivariate,24,13,1.6102999262562518,0.054903023129586365,2.0719452657065323,0.04438994173064247,20.46099621539758,0.6976157237242463,3
ETTh1,dlinear,multivariate,24,14,1.6195902303869916,0.04440349220422873,2.086820001445703,0.04170610400076546,20.57543561854762,0.5641063881130507,3
ETTh1,dlinear,multivariate,24,15,1.6377653537861707,0.05624143831857716,2.116248367015294,0.056904520810225595,20.80224760944847,0.7143564999161138,3
ETTh1,dlinear,multivariate,24,16,1.6673610786565713,0.03593282049972608,2.146819392504709,0.03329949298179104,21.17400199728877,0.45631484551771195,3
ETTh1,dlinear,multivariate,24,17,1.6978386217479355,0.029359797835870845,2.173968168776597,0.02064735751175319,21.554633248738707,0.3727325238707288,3
ETTh1,dlinear,multivariate,24,18,1.7236899219009605,0.0439194393963773,2.201146644952395,0.030021506691486788,21.875395364810032,0.5573827918753542,3
ETTh1,dlinear,multivariate,24,19,1.7329102955302709,0.051246325383348515,2.210227356039154,0.03379447284770419,21.984306517107978,0.650128819713796,3
ETTh1,dlinear,multivariate,24,20,1.7671632896704041,0.06701295384273949,2.2457586258194175,0.050076770818363064,22.410771175345687,0.8498433524124096,3
ETTh1,dlinear,multivariate,24,21,1.7792267725580053,0.07674073990159445,2.2652374753355997,0.05755483469523151,22.556463403563242,0.9728943594210924,3
ETTh1,dlinear,multivariate,24,22,1.7932296306006865,0.0873517332807669,2.282477444418819,0.06622576778404463,22.7271229170685,1.1070827435669583,3
ETTh1,dlinear,multivariate,24,23,1.8102879442535718,0.0753488107551694,2.301874968190181,0.05763922758865816,22.937181235480324,0.9547041030988301,3
ETTh1,dlinear,multivariate,48,0,0.6115737513773482,0.04681345715811371,0.8043145533881079,0.04677413683968731,7.807293109061194,0.5976162002681557,3
ETTh1,dlinear,multivariate,48,1,0.780565989204661,0.022636119956975426,1.0389554166597572,0.020038498001001638,9.962972491735327,0.28892245315576587,3
ETTh1,dlinear,multivariate,48,2,0.9050587717087324,0.022123370886343474,1.2035187540287513,0.019467884299508773,11.550078117620705,0.2823315677941366,3
ETTh1,dlinear,multivariate,48,3,1.0531865016702155,0.04326036970575956,1.3943729707832642,0.06117664436839064,13.438741529370283,0.5520056761254873,3
ETTh1,dlinear,multivariate,48,4,1.1817078101294574,0.035778594892084264,1.548126660076863,0.0458463234327386,15.076132249865234,0.4564604072882647,3
ETTh1,dlinear,multivariate,48,5,1.2757759166780243,0.07293718189176043,1.6618289725767355,0.07139979468379666,16.273317674323774,0.9303592548487539,3
ETTh1,dlinear,multivariate,48,6,1.3356693315594566,0.07782282277713166,1.7339388117684003,0.07394892278661507,17.03363659258626,0.99246546317508,3
ETTh1,dlinear,multivariate,48,7,1.3439818617178982,0.06382936269736814,1.7534406479510796,0.0666395940159243,17.13614954862875,0.8138424601784919,3
ETTh1,dlinear,multivariate,48,8,1.4039680229266807,0.07775697652034427,1.8221510030437769,0.07815571616993372,17.898107823172857,0.9912638514828338,3
ETTh1,dlinear,multivariate,48,9,1.492111876788849,0.07051865022429299,1.925855703941556,0.08073734071969693,19.018264590037504,0.8988215758889084,3
ETTh1,dlinear,multivariate,48,10,1.6026448039510761,0.06093593324265169,2.048237561929375,0.06471830401287494,20.42321229975478,0.7765335763921081,3
ETTh1,dlinear,multivariate,48,11,1.6261992605223667,0.022274478912142397,2.079458661363424,0.018495612794983733,20.71915358351056,0.283795695138309,3
ETTh1,dlinear,multivariate,48,12,1.642443715357239,0.03240789230053123,2.1027766115420756,0.027316040550949997,20.920399201942256,0.41279103684426666,3
ETTh1,dlinear,multivariate,48,13,1.6834144146966628,0.03785281789132412,2.1418214882288127,0.04076273741053111,21.435762807772168,0.4819989771029878,3
ETTh1,dlinear,multivariate,48,14,1.6908142501638228,0.04870950056393857,2.1583085589104107,0.055009311101620884,21.524334810120383,0.6200797032970227,3
ETTh1,dlinear,multivariate,48,15,1.7196439971089907,0.07484481710838684,2.1936618273566073,0.07666756616360544,21.885770729837144,0.9525439627647116,3
ETTh1,dlinear,multivariate,48,16,1.7391321863253075,0.07736263527153969,2.219449810746401,0.07678388629869168,22.12851924663275,0.98435333267777,3
ETTh1,dlinear,multivariate,48,17,1.7633998165416316,0.07816639794551751,2.2489903246118126,0.07709389121018438,22.429549032933906,0.9942368367062933,3
ETTh1,dlinear,multivariate,48,18,1.7710618105156384,0.07716220641068607,2.2490721299410708,0.07270676476989438,22.518383890224865,0.9810883931073581,3
ETTh1,dlinear,multivariate,48,19,1.781680835963425,0.047650674889342944,2.2589654666391326,0.04274127057399949,22.64437137499728,0.6056188946321975,3
ETTh1,dlinear,multivariate,48,20,1.7973808303058467,0.06403644546405529,2.2775646313373925,0.0586184070009158,22.834442410743264,0.8135373992437945,3
ETTh1,dlinear,multivariate,48,21,1.8200574488988728,0.0624601983594105,2.304807342078612,0.05716907622428109,23.11394033176502,0.7932174332535763,3
ETTh1,dlinear,multivariate,48,22,1.851009570452657,0.1065601674686373,2.340417762331569,0.09356099459245677,23.498601958063073,1.3527833674667062,3
ETTh1,dlinear,multivariate,48,23,1.885468848675836,0.1184588343814353,2.3756548654502017,0.11174122221616965,23.928709645682275,1.5033751710456797,3
ETTh1,dlinear,multivariate,48,24,1.9183206651817546,0.08510812630705712,2.408689687686939,0.09559970163188104,24.34056419684383,1.0798923504552587,3
ETTh1,dlinear,multivariate,48,25,1.9407833468034912,0.08249266971486409,2.436484382128343,0.09301584060930139,24.61979538108479,1.04646026160745,3
ETTh1,dlinear,multivariate,48,26,1.9458547286218162,0.038428604900270696,2.454992511271664,0.0447352687023412,24.67767068770365,0.4873583021217751,3
ETTh1,dlinear,multivariate,48,27,1.9980131105039067,0.044904052522396834,2.521510148757875,0.05640523948801574,25.332660633024137,0.5693351648280631,3
ETTh1,dlinear,multivariate,48,28,1.9936464109089904,0.031137902894510995,2.5249821829272627,0.0237011598172405,25.270483901058356,0.3946887820742942,3
ETTh1,dlinear,multivariate,48,29,2.0352575874999927,0.021662709273463955,2.5776244828473804,0.030799235669588018,25.79070089282106,0.2745089657601101,3
ETTh1,dlinear,multivariate,48,30,2.076317586997459,0.046254320430995706,2.614209439146906,0.0367306643557553,26.303434620534976,0.585964064935439,3
ETTh1,dlinear,multivariate,48,31,2.0730121187090913,0.018228088259192633,2.6115540035481977,0.005483087758944219,26.25455858634477,0.23085750768116722,3
ETTh1,dlinear,multivariate,48,32,2.0978424668011826,0.009140048704253721,2.6420795033843025,0.010602534649098442,26.562165191008532,0.11572817662826643,3
ETTh1,dlinear,multivariate,48,33,2.131449627875906,0.007771696044671175,2.6771938951129566,0.01756758964084729,26.980496446318124,0.09837634198471307,3
ETTh1,dlinear,multivariate,48,34,2.156155761476406,0.006037428385451234,2.6941219111518655,0.026303006616086852,27.285527085398503,0.07640190874919997,3
ETTh1,dlinear,multivariate,48,35,2.1735278062918413,0.00537592680565107,2.7159255661548625,0.027027131296607897,27.497454172131686,0.0680112306560851,3
ETTh1,dlinear,multivariate,48,36,2.1926133885851926,0.015117916470173366,2.7415191484555366,0.04230578411194174,27.731080258974178,0.19120386528942687,3
ETTh1,dlinear,multivariate,48,37,2.2345098481245658,0.02078166772402563,2.784955646171976,0.039184024813169765,28.25389487139277,0.2627704038179288,3
ETTh1,dlinear,multivariate,48,38,2.252836771364057,0.030960963165947902,2.80348795374033,0.028641448043524597,28.47842592122757,0.3913818822468156,3
ETTh1,dlinear,multivariate,48,39,2.226905680863463,0.012438801194184694,2.7866660372161434,0.01441096938444225,28.143288549708462,0.15719963994373756,3
ETTh1,dlinear,multivariate,48,40,2.2531374215323203,0.03052635688177851,2.812906306133843,0.03249719097419794,28.467531575262694,0.38568887104044347,3
ETTh1,dlinear,multivariate,48,41,2.269266668537003,0.007725450300465972,2.8277955238467887,0.005057355965544821,28.663924674208946,0.09758294543217061,3
ETTh1,dlinear,multivariate,48,42,2.2825505555088372,0.014371772064925842,2.8385701118215017,0.012260767972281513,28.823748061851784,0.18148484650296956,3
ETTh1,dlinear,multivariate,48,43,2.287326268007684,0.015441609155665588,2.8433054611888924,0.02147853834095816,28.87607269664846,0.1949407195505254,3
ETTh1,dlinear,multivariate,48,44,2.279665251625414,0.033254671982219,2.8460034750723775,0.026202708259951343,28.77186434974911,0.4197102669287099,3
ETTh1,dlinear,multivariate,48,45,2.2924600872866536,0.011302590009684366,2.861402554709846,0.010832553476426348,28.92704690222314,0.1426199536209691,3
ETTh1,dlinear,multivariate,48,46,2.311661324158513,0.012424073152628024,2.8830865544665087,0.022465551843026746,29.162983528139236,0.15673707775267645,3
ETTh1,dlinear,multivariate,48,47,2.3237925379083175,0.026857786221427118,2.9075807091895953,0.025180915310322467,29.310188540153465,0.33875949125379107,3
ETTh1,dlinear,multivariate,96,0,0.6640958315770865,0.06647169529293248,0.869149668857065,0.08251180493096943,8.472173560055882,0.8480097488573127,3
ETTh1,dlinear,multivariate,96,1,0.8436751119705664,0.09487426116693441,1.1115158588327356,0.1144433608160144,10.762327669588258,1.2102619498917535,3
ETTh1,dlinear,multivariate,96,2,0.9555297752280348,0.09770538371578527,1.2707820681580515,0.1078424011078458,12.188369570186959,1.2462922209208194,3
ETTh1,dlinear,multivariate,96,3,1.092746692239161,0.13398645320012312,1.4416970264282734,0.14792911360634733,13.938314024561338,1.7090376690262026,3
ETTh1,dlinear,multivariate,96,4,1.1836116392495861,0.14856906421215088,1.5521178455136788,0.14994217340035243,15.096707121416093,1.8949658615521154,3
ETTh1,dlinear,multivariate,96,5,1.2429018863681476,0.15641565989100503,1.638390017130215,0.170420243922404,15.852250072583603,1.9949604896857942,3
ETTh1,dlinear,multivariate,96,6,1.399063496692965,0.1675711462408467,1.8125557404636954,0.18992797719868063,17.842949250059387,2.137117768576788,3
ETTh1,dlinear,multivariate,96,7,1.4614411499443403,0.13896011569604494,1.8877157002149387,0.15548591925717567,18.637366037495855,1.772120992308582,3
ETTh1,dlinear,multivariate,96,8,1.5192699134531207,0.21006220988515623,1.9601571067244563,0.23150161863652072,19.37362712788384,2.6786990856183137,3
ETTh1,dlinear,multivariate,96,9,1.561118762647981,0.1809130960988049,2.0135631975501163,0.19047041968601858,19.905383630217404,2.3067716997192504,3
ETTh1,dlinear,multivariate,96,10,1.6957812044754663,0.29436661863798363,2.1607993434802375,0.3182712203527871,21.620129893079707,3.75298683246606,3
ETTh1,dlinear,multivariate,96,11,1.7202756276519267,0.27365012154355517,2.199727071777082,0.3010323099083834,21.9305074968815,3.4885607547814086,3
ETTh1,dlinear,multivariate,96,12,1.7099978983373287,0.23924993373834744,2.19392991067528,0.24435653109719238,21.79728855696561,3.049711258709922,3
ETTh1,dlinear,multivariate,96,13,1.7106190516932243,0.2020058879285517,2.18978274237481,0.20171583186811934,21.802298161175212,2.5746191675883785,3
ETTh1,dlinear,multivariate,96,14,1.7049101156380584,0.1291221969838419,2.1912199855636616,0.1574494634914248,21.726815858906292,1.645490968370165,3
