dataset,model,horizon,univariate_mae,multivariate_mae,mae_improvement,mae_improvement_pct,univariate_rmse,multivariate_rmse,rmse_improvement,rmse_improvement_pct,univariate_wape,multivariate_wape,wape_improvement,wape_improvement_pct,num_univariate_runs,num_multivariate_runs
ETTh1,dlinear,24,1.327412724494934,1.4205583731333415,-0.09314564863840746,-7.017082699267356,1.7929561210352813,1.890891664111481,-0.09793554307619967,-5.46223869771281,16.8695551554362,18.05330530802409,-1.1837501525878906,-7.01707983216397,3,3
ETTh1,dlinear,48,1.7230446736017864,1.8230178356170654,-0.09997316201527906,-5.802122460719431,2.2717031699886143,2.362103912838545,-0.09040074284993072,-3.9794258353913285,21.86909548441569,23.137967427571613,-1.268871943155922,-5.8021235677540615,3,3
ETTh1,dlinear,96,2.1344284216562905,2.210715134938558,-0.07628671328226755,-3.5741050160431236,2.7650753006053033,2.852136274215983,-0.08706097361067977,-3.1485932260731286,27.002506256103516,27.967605590820312,-0.9650993347167969,-3.5741102161531786,3,3
ETTh1,linear,24,1.3396555185317993,1.4263925552368164,-0.08673703670501709,-6.4745776436674465,1.806486227782238,1.8950845993298715,-0.0885983715476335,-4.904458732375875,17.025143305460613,18.12744967142741,-1.1023063659667969,-6.474579075133219,3,3
ETTh1,linear,48,1.7437140146891277,1.8039329449335735,-0.0602189302444458,-3.4534866232168087,2.2861883822698243,2.3554988615225994,-0.069310479252775,-3.031704639490847,22.131432851155598,22.89573923746745,-0.7643063863118513,-3.4534880387192954,3,3
ETTh1,linear,96,2.14792799949646,2.2143709659576416,-0.06644296646118164,-3.093351661543492,2.784558699367123,2.8667251129838043,-0.08216641361668131,-2.950787628767035,27.173288345336914,28.01385498046875,-0.8405666351318359,-3.0933563301185143,3,3
ETTh1,naive,24,1.452306866645813,1.452306866645813,0.0,0.0,1.9645780531595525,1.9645780531595525,0.0,0.0,18.456783294677734,18.456783294677734,0.0,0.0,3,3
ETTh1,naive,48,1.834916949272156,1.834916949272156,0.0,0.0,2.4346655969683555,2.4346655969683555,0.0,0.0,23.288991928100582,23.288991928100582,0.0,0.0,3,3
ETTh1,naive,96,2.3309926986694336,2.3309926986694336,0.0,0.0,3.061985361882757,3.061985361882757,0.0,0.0,29.489227294921875,29.489227294921875,0.0,0.0,3,3
ETTh1,nlinear,24,1.3365555206934612,1.4117647806803386,-0.07520925998687744,-5.62709583121962,1.801866457425391,1.8944086887040743,-0.09254223127868322,-5.135909539651058,16.98574701944987,17.941551208496094,-0.9558041890462228,-5.62709539917061,3,3
ETTh1,nlinear,48,1.737384517987569,1.7691951592763264,-0.031810641288757324,-1.8309499687267805,2.282012559306647,2.329402672020467,-0.047390112713819654,-2.0766806265176028,22.051098505655926,22.454843521118164,-0.4037450154622384,-1.8309519381026806,3,3
ETTh1,nlinear,96,2.134672164916992,2.1343024571736655,0.0003697077433266749,0.01731918134328843,2.772491878438615,2.7855593452524814,-0.013067466813866169,-0.4713257021775435,27.005590438842773,27.000913619995117,0.00467681884765625,0.01731796554586517,3,3
