timestamp,experiment_id,dataset,model,model_type,input_type,input_len,horizon,seed,num_features,total_parameters,trainable_parameters,epochs_requested,epochs_ran,best_epoch,best_val_loss,stopped_early,mae,rmse,wape,checkpoint_path,metrics_path,predictions_path,config_path
2026-07-01T21:12:22.696369+00:00,ETTh2_dlinear_univariate_len96_h48_seed3407,ETTh2,dlinear,linear,univariate,96,48,3407,1,9312,9312,100,18,8,0.09757382406833325,True,3.714258909225464,5.00654802709242,13.967945098876953,results/checkpoints/ETTh2_dlinear_univariate_len96_h48_seed3407_best.pt,results/metrics/ETTh2_dlinear_univariate_len96_h48_seed3407_metrics.json,results/predictions/ETTh2_dlinear_univariate_len96_h48_seed3407_predictions.csv,results/logs/ETTh2_dlinear_univariate_len96_h48_seed3407_config.yaml
2026-07-01T21:12:23.877209+00:00,ETTh2_naive_univariate_len96_h96_seed42,ETTh2,naive,baseline,univariate,96,96,42,1,0,0,100,0,,,False,6.188783168792725,8.003506368884661,23.229164123535156,,results/metrics/ETTh2_naive_univariate_len96_h96_seed42_metrics.json,results/predictions/ETTh2_naive_univariate_len96_h96_seed42_predictions.csv,results/logs/ETTh2_naive_univariate_len96_h96_seed42_config.yaml
2026-07-01T21:12:32.984110+00:00,ETTh2_linear_univariate_len96_h96_seed42,ETTh2,linear,linear,univariate,96,96,42,1,9312,9312,100,17,7,0.14640909423751217,True,4.541893005371094,5.939471108366396,17.04767608642578,results/checkpoints/ETTh2_linear_univariate_len96_h96_seed42_best.pt,results/metrics/ETTh2_linear_univariate_len96_h96_seed42_metrics.json,results/predictions/ETTh2_linear_univariate_len96_h96_seed42_predictions.csv,results/logs/ETTh2_linear_univariate_len96_h96_seed42_config.yaml
2026-07-01T21:12:48.127058+00:00,ETTh2_nlinear_univariate_len96_h96_seed42,ETTh2,nlinear,linear,univariate,96,96,42,1,9312,9312,100,31,21,0.13538103419926859,True,4.521613597869873,5.963447812159473,16.971559524536133,results/checkpoints/ETTh2_nlinear_univariate_len96_h96_seed42_best.pt,results/metrics/ETTh2_nlinear_univariate_len96_h96_seed42_metrics.json,results/predictions/ETTh2_nlinear_univariate_len96_h96_seed42_predictions.csv,results/logs/ETTh2_nlinear_univariate_len96_h96_seed42_config.yaml
2026-07-01T21:12:58.364594+00:00,ETTh2_dlinear_univariate_len96_h96_seed42,ETTh2,dlinear,linear,univariate,96,96,42,1,18624,18624,100,16,6,0.14154051399038683,True,4.5369672775268555,5.964719360093795,17.029190063476562,results/checkpoints/ETTh2_dlinear_univariate_len96_h96_seed42_best.pt,results/metrics/ETTh2_dlinear_univariate_len96_h96_seed42_metrics.json,results/predictions/ETTh2_dlinear_univariate_len96_h96_seed42_predictions.csv,results/logs/ETTh2_dlinear_univariate_len96_h96_seed42_config.yaml
2026-07-01T21:12:59.441765+00:00,ETTh2_naive_univariate_len96_h96_seed2024,ETTh2,naive,baseline,univariate,96,96,2024,1,0,0,100,0,,,False,6.188783168792725,8.003506368884661,23.229164123535156,,results/metrics/ETTh2_naive_univariate_len96_h96_seed2024_metrics.json,results/predictions/ETTh2_naive_univariate_len96_h96_seed2024_predictions.csv,results/logs/ETTh2_naive_univariate_len96_h96_seed2024_config.yaml
2026-07-01T21:13:05.710062+00:00,ETTh2_linear_univariate_len96_h96_seed2024,ETTh2,linear,linear,univariate,96,96,2024,1,9312,9312,100,13,3,0.1450476487701939,True,4.641924858093262,6.049197990286282,17.423139572143555,results/checkpoints/ETTh2_linear_univariate_len96_h96_seed2024_best.pt,results/metrics/ETTh2_linear_univariate_len96_h96_seed2024_metrics.json,results/predictions/ETTh2_linear_univariate_len96_h96_seed2024_predictions.csv,results/logs/ETTh2_linear_univariate_len96_h96_seed2024_config.yaml
2026-07-01T21:13:14.269640+00:00,ETTh2_nlinear_univariate_len96_h96_seed2024,ETTh2,nlinear,linear,univariate,96,96,2024,1,9312,9312,100,18,8,0.1362526045979992,True,4.536177158355713,5.97209193755385,17.02622413635254,results/checkpoints/ETTh2_nlinear_univariate_len96_h96_seed2024_best.pt,results/metrics/ETTh2_nlinear_univariate_len96_h96_seed2024_metrics.json,results/predictions/ETTh2_nlinear_univariate_len96_h96_seed2024_predictions.csv,results/logs/ETTh2_nlinear_univariate_len96_h96_seed2024_config.yaml
2026-07-01T21:13:26.927944+00:00,ETTh2_dlinear_univariate_len96_h96_seed2024,ETTh2,dlinear,linear,univariate,96,96,2024,1,18624,18624,100,20,10,0.138935916385343,True,4.545831680297852,5.966811259700337,17.062461853027344,results/checkpoints/ETTh2_dlinear_univariate_len96_h96_seed2024_best.pt,results/metrics/ETTh2_dlinear_univariate_len96_h96_seed2024_metrics.json,results/predictions/ETTh2_dlinear_univariate_len96_h96_seed2024_predictions.csv,results/logs/ETTh2_dlinear_univariate_len96_h96_seed2024_config.yaml
2026-07-01T21:13:28.006246+00:00,ETTh2_naive_univariate_len96_h96_seed3407,ETTh2,naive,baseline,univariate,96,96,3407,1,0,0,100,0,,,False,6.188783168792725,8.003506368884661,23.229164123535156,,results/metrics/ETTh2_naive_univariate_len96_h96_seed3407_metrics.json,results/predictions/ETTh2_naive_univariate_len96_h96_seed3407_predictions.csv,results/logs/ETTh2_naive_univariate_len96_h96_seed3407_config.yaml
