dataset,model,horizon,input_type,num_runs,mean_mae,std_mae,mean_rmse,mean_wape,total_parameters,trainable_parameters,mae_per_1k_params,checkpoint_size_mb,mean_epochs_ran
ETTh1,nlinear,24,multivariate,3,1.4117647806803386,0.023939966097753538,1.8944086887040745,17.941551208496094,16152,16152,0.08740495175088772,0.18984762827555338,39.666666666666664
ETTh1,dlinear,24,multivariate,3,1.4205583731333415,0.046963318739180415,1.890891664111481,18.05330530802409,32304,32304,0.04397468960913018,0.3772185643513997,51.0
ETTh1,linear,24,multivariate,3,1.4263925552368164,0.01747775325037565,1.8950845993298715,18.12744967142741,16152,16152,0.08831058415284895,0.18985462188720703,32.666666666666664
ETTh1,naive,24,multivariate,3,1.452306866645813,0.0,1.9645780531595525,18.456783294677734,0,0,,,0.0
ETTh1,transformer,24,multivariate,3,1.4568751255671184,0.055688396693275875,1.9359475052339665,18.514841079711914,69016,69016,0.021109237358976445,0.850927988688151,12.0
ETTh1,lstm,24,multivariate,3,1.6241056124369304,0.08876366332253746,2.1364264360632665,20.640105565388996,53528,53528,0.030341234726440937,0.6267258326212565,14.0
ETTh1,dlinear,24,univariate,3,1.327412724494934,0.0038260024401989426,1.7929561210352813,16.8695551554362,4656,4656,0.2850972346423828,0.06077035268147787,28.333333333333332
ETTh1,nlinear,24,univariate,3,1.3365555206934612,0.010708187675617637,1.8018664574253913,16.98574701944987,2328,2328,0.5741217872394593,0.03161780039469401,35.0
ETTh1,linear,24,univariate,3,1.3396555185317993,0.0163851700723644,1.8064862277822382,17.025143305460613,2328,2328,0.5754534014311853,0.03160444895426432,39.0
ETTh1,naive,24,univariate,3,1.452306866645813,0.0,1.9645780531595525,18.456783294677734,0,0,,,0.0
ETTh1,nlinear,48,multivariate,3,1.7691951592763264,0.03219513420557797,2.329402672020467,22.454843521118164,32304,32304,0.05476706164178821,0.3746010462443034,49.333333333333336
ETTh1,linear,48,multivariate,3,1.8039329449335735,0.019232327555579045,2.3554988615225994,22.89573923746745,32304,32304,0.055842401712901606,0.3745876948038737,37.0
