dataset,input_type,horizon,best_model,mean_mae,std_mae,mean_rmse,std_rmse,mean_wape,std_wape,num_runs
ETTh1,multivariate,24,nlinear,1.4117647806803386,0.02393996609775352,1.8944086887040743,0.032321157298219536,17.941551208496094,0.3042428926703466,3
ETTh1,multivariate,48,nlinear,1.7691951592763264,0.03219513420557795,2.329402672020467,0.03431491452022095,22.454843521118164,0.40862520854215806,3
ETTh1,multivariate,96,nlinear,2.1343024571736655,0.005380291798460807,2.7855593452524814,0.006105527809623943,27.000913619995117,0.06806553489100249,3
ETTh1,univariate,24,dlinear,1.327412724494934,0.0038260024401989235,1.7929561210352813,0.0029263546989712723,16.8695551554362,0.04862364445094792,3
ETTh1,univariate,48,dlinear,1.7230446736017864,0.01683127060747511,2.2717031699886143,0.01230551058122114,21.86909548441569,0.21362588322266252,3
ETTh1,univariate,96,dlinear,2.1344284216562905,0.026320530688736993,2.7650753006053033,0.024440546012970528,27.002506256103516,0.33298053818867707,3
ETTh2,multivariate,24,nlinear,2.842727025349935,0.0655101323971959,3.964932430968325,0.06256047348749072,10.693709055582682,0.24643451419050325,3
ETTh2,multivariate,48,dlinear,3.6090401808420816,0.033150763795224275,4.85264211801996,0.012633740871133763,13.572256406148275,0.12466870951615704,3
ETTh2,multivariate,96,dlinear,4.493000030517578,0.06764922311008212,5.893098491610161,0.06563942514535422,16.864161173502605,0.25391684409146803,3
ETTh2,univariate,24,nlinear,2.872312863667806,0.008135754385999885,4.007272907644462,0.0038380511945185596,10.805003801981607,0.030604918968581495,3
ETTh2,univariate,48,nlinear,3.6671314239501953,0.011551313033464931,4.948194028218878,0.008060944988739981,13.790715217590332,0.04343976052205678,3
ETTh2,univariate,96,nlinear,4.5250522295633955,0.009865784095772396,5.963849948018236,0.008048459803853675,16.984467188517254,0.03703060667114883,3
