dataset,model,input_type,horizon,mean_mae,std_mae,mean_rmse,std_rmse,mean_wape,std_wape,num_runs
ETTh1,dlinear,multivariate,24,1.4205583731333415,0.04696331873918043,1.890891664111481,0.03851616416974802,18.05330530802409,0.5968391360092673,3
ETTh1,dlinear,multivariate,48,1.8230178356170654,0.01290728788970652,2.362103912838545,0.013449532609754846,23.137967427571613,0.16382145714759372,3
ETTh1,dlinear,multivariate,96,2.210715134938558,0.06925602300410948,2.852136274215983,0.07244744443715977,27.967605590820312,0.8761531424898072,3
ETTh1,dlinear,univariate,24,1.327412724494934,0.0038260024401989235,1.7929561210352813,0.0029263546989712723,16.8695551554362,0.04862364445094792,3
ETTh1,dlinear,univariate,48,1.7230446736017864,0.01683127060747511,2.2717031699886143,0.01230551058122114,21.86909548441569,0.21362588322266252,3
ETTh1,dlinear,univariate,96,2.1344284216562905,0.026320530688736993,2.7650753006053033,0.024440546012970528,27.002506256103516,0.33298053818867707,3
ETTh1,linear,multivariate,24,1.4263925552368164,0.01747775325037568,1.8950845993298715,0.009861998190785592,18.12744967142741,0.2221168521677362,3
ETTh1,linear,multivariate,48,1.8039329449335735,0.01923232755557909,2.3554988615225994,0.0211912331882086,22.89573923746745,0.24409808588714227,3
ETTh1,linear,multivariate,96,2.2143709659576416,0.05860303643804037,2.8667251129838043,0.08448035253111656,28.01385498046875,0.7413821918984651,3
ETTh1,linear,univariate,24,1.3396555185317993,0.0163851700723644,1.806486227782238,0.015150345846333986,17.025143305460613,0.20823197846483715,3
ETTh1,linear,univariate,48,1.7437140146891277,0.017017209042955447,2.2861883822698243,0.01665496505381506,22.131432851155598,0.2159845157604798,3
ETTh1,linear,univariate,96,2.14792799949646,0.02122864153348043,2.784558699367123,0.024662506095090138,27.173288345336914,0.2685618403075535,3
ETTh1,lstm,multivariate,24,1.6241056124369304,0.08876366332253743,2.1364264360632665,0.08340989618121587,20.640105565388996,1.1280621096365673,3
ETTh1,lstm,multivariate,48,2.074203848838806,0.10693467615272174,2.713174515914617,0.14980256638653122,26.3260498046875,1.3572276027975585,3
ETTh1,lstm,multivariate,96,2.6424638430277505,0.17275403438126444,3.397896165234254,0.18358131107085945,33.42962773640951,2.1855003456699373,3
ETTh1,lstm_regularized,multivariate,96,2.761277516682943,0.07357098030670209,3.5161003060404923,0.09208285377286786,34.93273035685221,0.930741919814572,3
ETTh1,naive,multivariate,24,1.452306866645813,0.0,1.9645780531595525,0.0,18.456783294677734,0.0,3
ETTh1,naive,multivariate,48,1.834916949272156,0.0,2.4346655969683555,0.0,23.288991928100582,0.0,3
ETTh1,naive,multivariate,96,2.3309926986694336,0.0,3.061985361882757,0.0,29.489227294921875,0.0,3
ETTh1,naive,univariate,24,1.452306866645813,0.0,1.9645780531595525,0.0,18.456783294677734,0.0,3
ETTh1,naive,univariate,48,1.834916949272156,0.0,2.4346655969683555,0.0,23.288991928100582,0.0,3
ETTh1,naive,univariate,96,2.3309926986694336,0.0,3.061985361882757,0.0,29.489227294921875,0.0,3
ETTh1,nlinear,multivariate,24,1.4117647806803386,0.02393996609775352,1.8944086887040743,0.032321157298219536,17.941551208496094,0.3042428926703466,3
ETTh1,nlinear,multivariate,48,1.7691951592763264,0.03219513420557795,2.329402672020467,0.03431491452022095,22.454843521118164,0.40862520854215806,3
ETTh1,nlinear,multivariate,96,2.1343024571736655,0.005380291798460807,2.7855593452524814,0.006105527809623943,27.000913619995117,0.06806553489100249,3
ETTh1,nlinear,univariate,24,1.3365555206934612,0.010708187675617669,1.801866457425391,0.010158098747444895,16.98574701944987,0.13608645133816386,3
ETTh1,nlinear,univariate,48,1.737384517987569,0.012482833997421314,2.282012559306647,0.013031288527314201,22.051098505655926,0.15843341683954576,3
ETTh1,nlinear,univariate,96,2.134672164916992,0.002221435821627732,2.772491878438615,0.0030336289129542526,27.005590438842773,0.028104733110119146,3
ETTh1,transformer,multivariate,24,1.4568751255671184,0.055688396693275855,1.9359475052339665,0.08104911996153318,18.514841079711914,0.7077215732028933,3
ETTh1,transformer,multivariate,48,1.8897412618001301,0.092154666981003,2.3955021718814096,0.1254902020070342,23.98482894897461,1.169638698192632,3
ETTh1,transformer,multivariate,96,2.482593854268392,0.28304086424955927,3.1082423717431182,0.3793807059509362,31.40712547302246,3.5807300559542528,3
ETTh1,transformer_regularized,multivariate,96,2.3859108289082847,0.09364868174534581,2.9942373918586385,0.11490519317830118,30.18399429321289,1.1847433558107923,3
ETTh2,dlinear,multivariate,24,2.864088217417399,0.0614174207018688,3.973961774190029,0.06820098274204235,10.774064699808756,0.23103896071077193,3
ETTh2,dlinear,multivariate,48,3.6090401808420816,0.033150763795224275,4.85264211801996,0.012633740871133763,13.572256406148275,0.12466870951615704,3
ETTh2,dlinear,multivariate,96,4.493000030517578,0.06764922311008212,5.893098491610161,0.06563942514535422,16.864161173502605,0.25391684409146803,3
ETTh2,dlinear,univariate,24,2.88032595316569,0.015543582174640988,4.0194305541053374,0.016521474699473866,10.835147539774576,0.05847197769700265,3
ETTh2,dlinear,univariate,48,3.6922945976257324,0.019540570787855763,4.968551566127784,0.03290778232663176,13.885345141092936,0.07348507214893732,3
ETTh2,dlinear,univariate,96,4.553293228149414,0.021071977170257324,5.984097898469886,0.03177019707732099,17.09046808878581,0.07909179762012501,3
ETTh2,linear,multivariate,24,2.929501533508301,0.0939335820823072,4.024702108839011,0.08276783903504396,11.020135243733725,0.3533577020548791,3
ETTh2,linear,multivariate,48,3.629991134007772,0.037924840384395496,4.869303958305281,0.019339466346041462,13.651044209798178,0.14262122751976103,3
ETTh2,linear,multivariate,96,4.647485415140788,0.14035485816145743,6.032636468216961,0.1514710133269562,17.444011052449543,0.526811471953806,3
ETTh2,linear,univariate,24,2.960702578226725,0.03404886751500152,4.10005952669471,0.03128674881569408,11.137506802876791,0.12808430027212317,3
ETTh2,linear,univariate,48,3.725034316380819,0.020442977808088167,5.010090648683734,0.027039825341083085,14.008467038472494,0.0768774358349819,3
ETTh2,linear,univariate,96,4.624462604522705,0.07537119958057943,6.035042832889476,0.08933918628426901,17.357596079508465,0.2829012420529355,3
ETTh2,lstm,multivariate,24,3.6372925440470376,0.4470482586746022,4.883212711088002,0.5619024754718811,13.682688395182291,1.6816972963159047,3
ETTh2,lstm,multivariate,48,4.605604489644368,0.35023046833997057,6.02722945600826,0.4801391835140377,17.31996218363444,1.317086039278976,3
ETTh2,lstm,multivariate,96,6.056140581766765,0.34952060422618997,7.522714936737855,0.21005824892649858,22.731300354003906,1.3119009957606351,3
ETTh2,lstm_regularized,multivariate,96,5.706912040710449,0.5751228592110967,7.047733915636876,0.5624124947173341,21.420494715372723,2.158683193827562,3
ETTh2,naive,multivariate,24,4.896778583526611,0.0,6.461150049405872,0.0,18.420595169067383,0.0,3
ETTh2,naive,multivariate,48,5.427020072937012,0.0,7.05976855366024,0.0,20.40900230407715,0.0,3
ETTh2,naive,multivariate,96,6.188783168792725,0.0,8.003506368884661,0.0,23.229164123535156,0.0,3
ETTh2,naive,univariate,24,4.896778583526611,0.0,6.461150049405872,0.0,18.420595169067383,0.0,3
ETTh2,naive,univariate,48,5.427020072937012,0.0,7.05976855366024,0.0,20.40900230407715,0.0,3
ETTh2,naive,univariate,96,6.188783168792725,0.0,8.003506368884661,0.0,23.229164123535156,0.0,3
