dataset,horizon,anomaly_type,forecast_metric,detection_metric,pearson_correlation,spearman_correlation,num_models
ETTh1,96,level_shift,forecast_wape,fixed_f1,-0.8900388119858547,-0.3142857142857143,6
ETTh1,96,level_shift,forecast_wape,event_recall,-0.9573100405823232,-0.6546536707079772,6
ETTh1,96,spike,forecast_mae,average_precision,-0.9586465870858698,-0.33394720739540396,6
ETTh1,96,spike,forecast_mae,oracle_best_f1,-0.9584522697159946,-0.6761234037828133,6
ETTh1,96,spike,forecast_mae,fixed_f1,-0.8619555903940557,-0.3142857142857143,6
ETTh1,96,spike,forecast_mae,event_recall,-0.9559893524303094,-0.50709255283711,6
ETTh1,96,spike,forecast_rmse,average_precision,-0.9349637212177747,-0.33394720739540396,6
ETTh1,96,spike,forecast_rmse,oracle_best_f1,-0.934706917495063,-0.6761234037828133,6
ETTh1,96,spike,forecast_rmse,fixed_f1,-0.9045510744368114,-0.4285714285714286,6
ETTh1,96,spike,forecast_rmse,event_recall,-0.9197182842348867,-0.33806170189140666,6
ETTh1,96,spike,forecast_wape,average_precision,-0.9586465857009159,-0.33394720739540396,6
ETTh1,96,spike,forecast_wape,oracle_best_f1,-0.9584522684626151,-0.6761234037828133,6
ETTh1,96,spike,forecast_wape,fixed_f1,-0.8619554492426499,-0.3142857142857143,6
ETTh1,96,spike,forecast_wape,event_recall,-0.9559893785204552,-0.50709255283711,6
ETTh2,24,frozen,forecast_mae,average_precision,-0.42271012572022076,-0.7714285714285715,6
ETTh2,24,frozen,forecast_mae,oracle_best_f1,-0.3700266664079906,-0.7142857142857143,6
ETTh2,24,frozen,forecast_mae,fixed_f1,-0.29843755835627006,-0.3714285714285715,6
ETTh2,24,frozen,forecast_mae,event_recall,-0.20290256194439113,-0.6480740698407861,6
ETTh2,24,frozen,forecast_rmse,average_precision,-0.3970794747699118,-0.7714285714285715,6
ETTh2,24,frozen,forecast_rmse,oracle_best_f1,-0.3448394095781318,-0.7142857142857143,6
ETTh2,24,frozen,forecast_rmse,fixed_f1,-0.2732131885187378,-0.3714285714285715,6
ETTh2,24,frozen,forecast_rmse,event_recall,-0.17376726982986018,-0.6480740698407861,6
ETTh2,24,frozen,forecast_wape,average_precision,-0.422710055767735,-0.7714285714285715,6
ETTh2,24,frozen,forecast_wape,oracle_best_f1,-0.3700265931315896,-0.7142857142857143,6
ETTh2,24,frozen,forecast_wape,fixed_f1,-0.298437478836279,-0.3714285714285715,6
ETTh2,24,frozen,forecast_wape,event_recall,-0.2029024846670098,-0.6480740698407861,6
ETTh2,24,level_shift,forecast_mae,average_precision,,,6
ETTh2,24,level_shift,forecast_mae,oracle_best_f1,,,6
ETTh2,24,level_shift,forecast_mae,fixed_f1,0.05221113976997855,0.7714285714285715,6
ETTh2,24,level_shift,forecast_mae,event_recall,,,6
ETTh2,24,level_shift,forecast_rmse,average_precision,,,6
ETTh2,24,level_shift,forecast_rmse,oracle_best_f1,,,6
ETTh2,24,level_shift,forecast_rmse,fixed_f1,0.019902087487701735,0.7714285714285715,6
ETTh2,24,level_shift,forecast_rmse,event_recall,,,6
ETTh2,24,level_shift,forecast_wape,average_precision,,,6
ETTh2,24,level_shift,forecast_wape,oracle_best_f1,,,6
ETTh2,24,level_shift,forecast_wape,fixed_f1,0.05221109588293939,0.7714285714285715,6
ETTh2,24,level_shift,forecast_wape,event_recall,,,6
ETTh2,24,spike,forecast_mae,average_precision,,,6
ETTh2,24,spike,forecast_mae,oracle_best_f1,,,6
ETTh2,24,spike,forecast_mae,fixed_f1,0.03301507214712028,0.7714285714285715,6
ETTh2,24,spike,forecast_mae,event_recall,,,6
ETTh2,24,spike,forecast_rmse,average_precision,,,6
ETTh2,24,spike,forecast_rmse,oracle_best_f1,,,6
ETTh2,24,spike,forecast_rmse,fixed_f1,0.000649198987723199,0.7714285714285715,6
ETTh2,24,spike,forecast_rmse,event_recall,,,6
ETTh2,24,spike,forecast_wape,average_precision,,,6
ETTh2,24,spike,forecast_wape,oracle_best_f1,,,6
ETTh2,24,spike,forecast_wape,fixed_f1,0.03301502780474345,0.7714285714285715,6
ETTh2,24,spike,forecast_wape,event_recall,,,6
ETTh2,96,frozen,forecast_mae,average_precision,-0.40719603433589274,-0.6,6
ETTh2,96,frozen,forecast_mae,oracle_best_f1,-0.3802017391100082,-0.3142857142857143,6
ETTh2,96,frozen,forecast_mae,fixed_f1,-0.4603735748548192,-0.3142857142857143,6
ETTh2,96,frozen,forecast_mae,event_recall,-0.5800608891773177,-0.6087595874350709,6
ETTh2,96,frozen,forecast_rmse,average_precision,-0.38032835812076576,-0.6,6
ETTh2,96,frozen,forecast_rmse,oracle_best_f1,-0.35715817087561186,-0.3142857142857143,6
ETTh2,96,frozen,forecast_rmse,fixed_f1,-0.44676522222579657,-0.3142857142857143,6
ETTh2,96,frozen,forecast_rmse,event_recall,-0.5679481457545702,-0.6087595874350709,6
ETTh2,96,frozen,forecast_wape,average_precision,-0.40719608622968456,-0.6,6
ETTh2,96,frozen,forecast_wape,oracle_best_f1,-0.38020181898339855,-0.3142857142857143,6
ETTh2,96,frozen,forecast_wape,fixed_f1,-0.4603736840565146,-0.3142857142857143,6
ETTh2,96,frozen,forecast_wape,event_recall,-0.5800609773294734,-0.6087595874350709,6
ETTh2,96,level_shift,forecast_mae,average_precision,,,6
ETTh2,96,level_shift,forecast_mae,oracle_best_f1,,,6
ETTh2,96,level_shift,forecast_mae,fixed_f1,0.5639031054991281,0.6,6
ETTh2,96,level_shift,forecast_mae,event_recall,,,6
ETTh2,96,level_shift,forecast_rmse,average_precision,,,6
ETTh2,96,level_shift,forecast_rmse,oracle_best_f1,,,6
ETTh2,96,level_shift,forecast_rmse,fixed_f1,0.5688672681886644,0.6,6
ETTh2,96,level_shift,forecast_rmse,event_recall,,,6
ETTh2,96,level_shift,forecast_wape,average_precision,,,6
ETTh2,96,level_shift,forecast_wape,oracle_best_f1,,,6
ETTh2,96,level_shift,forecast_wape,fixed_f1,0.5639031656630326,0.6,6
ETTh2,96,level_shift,forecast_wape,event_recall,,,6
ETTh2,96,spike,forecast_mae,average_precision,0.7114934596033572,0.6546536707079772,6
ETTh2,96,spike,forecast_mae,oracle_best_f1,,,6
ETTh2,96,spike,forecast_mae,fixed_f1,0.5667502207504321,0.6,6
ETTh2,96,spike,forecast_mae,event_recall,,,6
ETTh2,96,spike,forecast_rmse,average_precision,0.7179833627336889,0.6546536707079772,6
ETTh2,96,spike,forecast_rmse,oracle_best_f1,,,6
ETTh2,96,spike,forecast_rmse,fixed_f1,0.5725850844425264,0.6,6
ETTh2,96,spike,forecast_rmse,event_recall,,,6
ETTh2,96,spike,forecast_wape,average_precision,0.7114933705921135,0.6546536707079772,6
ETTh2,96,spike,forecast_wape,oracle_best_f1,,,6
ETTh2,96,spike,forecast_wape,fixed_f1,0.5667502840077282,0.6,6
ETTh2,96,spike,forecast_wape,event_recall,,,6
