anomaly_type,best_detector,best_mean_f1,mean_recall,mean_precision
frozen,residual,0.12025548431070024,0.18132284488596284,0.09850161716343263
level_shift,residual,0.6379274683760994,0.9968519584025913,0.4971940499170058
spike,residual,0.6036954423801022,0.9814800014208581,0.46740923571348464
