threshold_method,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,mean_false_positive_rate,std_false_positive_rate,num_runs
iqr,0.13708314322897355,0.177462984466464,0.49055721574162126,0.3693739021691867,0.1886807191019428,0.2217841858877002,0.166902476077662,0.1939050225302249,432
mad,0.16609534039088492,0.2081195671166855,0.4634772409419251,0.3667423637742003,0.21051477085836556,0.2429026058757732,0.1319105454891241,0.17156302756170289,432
mean_std,0.12643672700935138,0.20071290973919398,0.39511151394999877,0.3962343703071877,0.1675799162244004,0.24333978895482822,0.1196357911267407,0.1840488987734996,432
percentile,0.19668653137781889,0.22998408278887925,0.4438038812155767,0.3717117979392028,0.2297571474865973,0.2600202623577754,0.1229841319376639,0.1912141470638684,432
