dataset,model,horizon,aggregation_method,anomaly_type,injection_seed,detector_type,threshold_method,threshold_value,tp,fp,tn,fn,precision,recall,f1,false_positive_rate,true_negative_rate,num_points,num_true_anomaly,num_predicted_anomaly,num_true_events,num_detected_events,event_recall,mean_detection_delay,median_detection_delay,max_detection_delay
ETTh1,nlinear,24,first,spike,2024,flatness,mad,4.876898015025185,0,87,3212,67,0.0,0.0,0.0,0.026371627765989693,0.9736283722340103,3366,67,87,32,0,0.0,,,
ETTh1,nlinear,24,first,spike,2024,hybrid_rankmax,mad,1.6084176633785456,0,0,3299,67,0.0,0.0,0.0,0.0,1.0,3366,67,0,32,0,0.0,,,
ETTh1,nlinear,24,first,spike,2024,hybrid_or,mad,,67,194,3105,0,0.2567049808429119,1.0,0.4085365853658537,0.05880569869657472,0.9411943013034253,3366,67,261,32,32,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,spike,3407,residual,percentile,1.7860218639999996,68,80,3218,0,0.4594594594594595,1.0,0.6296296296296297,0.02425712553062462,0.9757428744693754,3366,68,148,33,33,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,spike,3407,flatness,percentile,790003.6009387329,0,21,3277,68,0.0,0.0,0.0,0.006367495451788963,0.9936325045482111,3366,68,21,33,0,0.0,,,
ETTh1,nlinear,24,first,spike,3407,hybrid_rankmax,percentile,1.0,0,0,3298,68,0.0,0.0,0.0,0.0,1.0,3366,68,0,33,0,0.0,,,
ETTh1,nlinear,24,first,spike,3407,hybrid_or,percentile,,68,99,3199,0,0.40718562874251496,1.0,0.5787234042553191,0.03001819284414797,0.969981807155852,3366,68,167,33,33,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,spike,3407,residual,mean_std,1.6956210557618947,68,91,3207,0,0.4276729559748428,1.0,0.5991189427312776,0.027592480291085505,0.9724075197089145,3366,68,159,33,33,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,spike,3407,flatness,mean_std,315997.1069870756,0,21,3277,68,0.0,0.0,0.0,0.006367495451788963,0.9936325045482111,3366,68,21,33,0,0.0,,,
ETTh1,nlinear,24,first,spike,3407,hybrid_rankmax,mean_std,1.371334843858064,0,0,3298,68,0.0,0.0,0.0,0.0,1.0,3366,68,0,33,0,0.0,,,
ETTh1,nlinear,24,first,spike,3407,hybrid_or,mean_std,,68,110,3188,0,0.38202247191011235,1.0,0.5528455284552846,0.03335354760460885,0.9666464523953912,3366,68,178,33,33,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,spike,3407,residual,iqr,1.4185841175,68,155,3143,0,0.30493273542600896,1.0,0.46735395189003437,0.0469981807155852,0.9530018192844147,3366,68,223,33,33,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,spike,3407,flatness,iqr,4.285812514580129,1,119,3179,67,0.008333333333333333,0.014705882352941176,0.010638297872340425,0.03608247422680412,0.9639175257731959,3366,68,120,33,1,0.030303030303030304,0.0,0.0,0.0
ETTh1,nlinear,24,first,spike,3407,hybrid_rankmax,iqr,1.404516029593095,0,0,3298,68,0.0,0.0,0.0,0.0,1.0,3366,68,0,33,0,0.0,,,
ETTh1,nlinear,24,first,spike,3407,hybrid_or,iqr,,68,270,3028,0,0.20118343195266272,1.0,0.3349753694581281,0.0818677986658581,0.9181322013341419,3366,68,338,33,33,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,spike,3407,residual,mad,1.5722129060285002,68,111,3187,0,0.37988826815642457,1.0,0.5506072874493927,0.03365676167374166,0.9663432383262583,3366,68,179,33,33,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,spike,3407,flatness,mad,4.876898015025185,1,81,3217,67,0.012195121951219513,0.014705882352941176,0.013333333333333334,0.024560339599757428,0.9754396604002425,3366,68,82,33,1,0.030303030303030304,0.0,0.0,0.0
ETTh1,nlinear,24,first,spike,3407,hybrid_rankmax,mad,1.6084176633785456,0,0,3298,68,0.0,0.0,0.0,0.0,1.0,3366,68,0,33,0,0.0,,,
ETTh1,nlinear,24,first,spike,3407,hybrid_or,mad,,68,189,3109,0,0.26459143968871596,1.0,0.4184615384615385,0.057307459066100665,0.9426925409338993,3366,68,257,33,33,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,level_shift,42,residual,percentile,1.7860218639999996,77,80,3209,0,0.49044585987261147,1.0,0.6581196581196581,0.024323502584372148,0.9756764974156279,3366,77,157,5,5,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,level_shift,42,flatness,percentile,790003.6009387329,0,26,3263,77,0.0,0.0,0.0,0.007905138339920948,0.9920948616600791,3366,77,26,5,0,0.0,,,
ETTh1,nlinear,24,first,level_shift,42,hybrid_rankmax,percentile,1.0,0,0,3289,77,0.0,0.0,0.0,0.0,1.0,3366,77,0,5,0,0.0,,,
ETTh1,nlinear,24,first,level_shift,42,hybrid_or,percentile,,77,104,3185,0,0.425414364640884,1.0,0.5968992248062015,0.03162055335968379,0.9683794466403162,3366,77,181,5,5,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,level_shift,42,residual,mean_std,1.6956210557618947,77,93,3196,0,0.45294117647058824,1.0,0.6234817813765182,0.028276071754332624,0.9717239282456673,3366,77,170,5,5,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,level_shift,42,flatness,mean_std,315997.1069870756,0,26,3263,77,0.0,0.0,0.0,0.007905138339920948,0.9920948616600791,3366,77,26,5,0,0.0,,,
ETTh1,nlinear,24,first,level_shift,42,hybrid_rankmax,mean_std,1.371334843858064,0,0,3289,77,0.0,0.0,0.0,0.0,1.0,3366,77,0,5,0,0.0,,,
ETTh1,nlinear,24,first,level_shift,42,hybrid_or,mean_std,,77,117,3172,0,0.39690721649484534,1.0,0.5682656826568265,0.03557312252964427,0.9644268774703557,3366,77,194,5,5,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,level_shift,42,residual,iqr,1.4185841175,77,156,3133,0,0.33047210300429186,1.0,0.4967741935483871,0.04743083003952569,0.9525691699604744,3366,77,233,5,5,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,level_shift,42,flatness,iqr,4.285812514580129,1,129,3160,76,0.007692307692307693,0.012987012987012988,0.009661835748792272,0.03922164791730009,0.9607783520826999,3366,77,130,5,1,0.2,0.0,0.0,0.0
ETTh1,nlinear,24,first,level_shift,42,hybrid_rankmax,iqr,1.404516029593095,0,0,3289,77,0.0,0.0,0.0,0.0,1.0,3366,77,0,5,0,0.0,,,
ETTh1,nlinear,24,first,level_shift,42,hybrid_or,iqr,,77,281,3008,0,0.21508379888268156,1.0,0.35402298850574715,0.08543630282760717,0.9145636971723928,3366,77,358,5,5,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,level_shift,42,residual,mad,1.5722129060285002,77,113,3176,0,0.4052631578947368,1.0,0.5767790262172284,0.034356947400425664,0.9656430525995744,3366,77,190,5,5,1.0,0.0,0.0,0.0
ETTh1,nlinear,24,first,level_shift,42,flatness,mad,4.876898015025185,1,90,3199,76,0.01098901098901099,0.012987012987012988,0.011904761904761906,0.027363940407418668,0.9726360595925814,3366,77,91,5,1,0.2,0.0,0.0,0.0
