dataset,model,horizon,aggregation_method,anomaly_type,magnitude_scale,injection_seed,detector_type,threshold_method,precision,recall,f1,false_positive_rate
ETTh1,nlinear,24,first,spike,5.0,3407,raw_zscore,percentile,0.06349206349206349,1.0,0.11940298507462686,0.30412371134020616
ETTh1,nlinear,24,first,spike,5.0,3407,diff_score,percentile,0.24285714285714285,0.5,0.3269230769230769,0.03214069132807762
ETTh1,nlinear,24,first,spike,5.0,3407,rolling_zscore,percentile,0.618421052631579,0.6911764705882353,0.6527777777777778,0.008793208004851425
ETTh1,nlinear,24,first,level_shift,1.0,42,residual,percentile,0.49044585987261147,1.0,0.6581196581196581,0.024323502584372148
ETTh1,nlinear,24,first,level_shift,1.0,42,raw_zscore,percentile,0.012909632571996028,0.16883116883116883,0.023985239852398522,0.30221951961082394
ETTh1,nlinear,24,first,level_shift,1.0,42,diff_score,percentile,0.05952380952380952,0.06493506493506493,0.06211180124223602,0.024019458802067496
ETTh1,nlinear,24,first,level_shift,1.0,42,rolling_zscore,percentile,0.02702702702702703,0.012987012987012988,0.017543859649122806,0.010945576162967468
ETTh1,nlinear,24,first,level_shift,1.0,2024,residual,percentile,0.4557823129251701,1.0,0.6261682242990654,0.024249772658381328
ETTh1,nlinear,24,first,level_shift,1.0,2024,raw_zscore,percentile,0.022727272727272728,0.34328358208955223,0.042632066728452274,0.2997878144892392
ETTh1,nlinear,24,first,level_shift,1.0,2024,diff_score,percentile,0.06097560975609756,0.07462686567164178,0.06711409395973153,0.023340406183692028
ETTh1,nlinear,24,first,level_shift,1.0,2024,rolling_zscore,percentile,0.0,0.0,0.0,0.011215519854501364
ETTh1,nlinear,24,first,level_shift,1.0,3407,residual,percentile,0.49032258064516127,0.9620253164556962,0.6495726495726496,0.02403407362336477
ETTh1,nlinear,24,first,level_shift,1.0,3407,raw_zscore,percentile,0.03944773175542406,0.5063291139240507,0.07319304666056725,0.29631883176148466
ETTh1,nlinear,24,first,level_shift,1.0,3407,diff_score,percentile,0.04878048780487805,0.05063291139240506,0.049689440993788817,0.02372984484332218
ETTh1,nlinear,24,first,level_shift,1.0,3407,rolling_zscore,percentile,0.027777777777777776,0.012658227848101266,0.017391304347826087,0.01064800730149072
ETTh1,nlinear,24,first,level_shift,2.0,42,residual,percentile,0.49044585987261147,1.0,0.6581196581196581,0.024323502584372148
ETTh1,nlinear,24,first,level_shift,2.0,42,raw_zscore,percentile,0.014866204162537165,0.19480519480519481,0.027624309392265192,0.30221951961082394
ETTh1,nlinear,24,first,level_shift,2.0,42,diff_score,percentile,0.05952380952380952,0.06493506493506493,0.06211180124223602,0.024019458802067496
ETTh1,nlinear,24,first,level_shift,2.0,42,rolling_zscore,percentile,0.12195121951219512,0.06493506493506493,0.0847457627118644,0.010945576162967468
ETTh1,nlinear,24,first,level_shift,2.0,2024,residual,percentile,0.4557823129251701,1.0,0.6261682242990654,0.024249772658381328
ETTh1,nlinear,24,first,level_shift,2.0,2024,raw_zscore,percentile,0.0341796875,0.5223880597014925,0.06416131989000916,0.2997878144892392
ETTh1,nlinear,24,first,level_shift,2.0,2024,diff_score,percentile,0.06097560975609756,0.07462686567164178,0.06711409395973153,0.023340406183692028
ETTh1,nlinear,24,first,level_shift,2.0,2024,rolling_zscore,percentile,0.09523809523809523,0.05970149253731343,0.07339449541284404,0.011518642012731131
ETTh1,nlinear,24,first,level_shift,2.0,3407,residual,percentile,0.5,1.0,0.6666666666666666,0.02403407362336477
ETTh1,nlinear,24,first,level_shift,2.0,3407,raw_zscore,percentile,0.057115198451113264,0.7468354430379747,0.10611510791366906,0.29631883176148466
ETTh1,nlinear,24,first,level_shift,2.0,3407,diff_score,percentile,0.04878048780487805,0.05063291139240506,0.049689440993788817,0.02372984484332218
ETTh1,nlinear,24,first,level_shift,2.0,3407,rolling_zscore,percentile,0.125,0.06329113924050633,0.08403361344537816,0.01064800730149072
ETTh1,nlinear,24,first,level_shift,3.0,42,residual,percentile,0.49044585987261147,1.0,0.6581196581196581,0.024323502584372148
ETTh1,nlinear,24,first,level_shift,3.0,42,raw_zscore,percentile,0.04514889529298751,0.6103896103896104,0.08407871198568873,0.30221951961082394
ETTh1,nlinear,24,first,level_shift,3.0,42,diff_score,percentile,0.05952380952380952,0.06493506493506493,0.06211180124223602,0.024019458802067496
ETTh1,nlinear,24,first,level_shift,3.0,42,rolling_zscore,percentile,0.2,0.11688311688311688,0.14754098360655737,0.010945576162967468
ETTh1,nlinear,24,first,level_shift,3.0,2024,residual,percentile,0.4557823129251701,1.0,0.6261682242990654,0.024249772658381328
ETTh1,nlinear,24,first,level_shift,3.0,2024,raw_zscore,percentile,0.049951969260326606,0.7761194029850746,0.09386281588447654,0.2997878144892392
ETTh1,nlinear,24,first,level_shift,3.0,2024,diff_score,percentile,0.06097560975609756,0.07462686567164178,0.06711409395973153,0.023340406183692028
ETTh1,nlinear,24,first,level_shift,3.0,2024,rolling_zscore,percentile,0.15217391304347827,0.1044776119402985,0.12389380530973454,0.011821764170960897
ETTh1,nlinear,24,first,level_shift,3.0,3407,residual,percentile,0.5,1.0,0.6666666666666666,0.02403407362336477
ETTh1,nlinear,24,first,level_shift,3.0,3407,raw_zscore,percentile,0.057115198451113264,0.7468354430379747,0.10611510791366906,0.29631883176148466
ETTh1,nlinear,24,first,level_shift,3.0,3407,diff_score,percentile,0.04878048780487805,0.05063291139240506,0.049689440993788817,0.02372984484332218
ETTh1,nlinear,24,first,level_shift,3.0,3407,rolling_zscore,percentile,0.16666666666666666,0.08860759493670886,0.11570247933884298,0.01064800730149072
ETTh1,nlinear,24,first,level_shift,5.0,42,residual,percentile,0.49044585987261147,1.0,0.6581196581196581,0.024323502584372148
ETTh1,nlinear,24,first,level_shift,5.0,42,raw_zscore,percentile,0.0718954248366013,1.0,0.13414634146341461,0.30221951961082394
ETTh1,nlinear,24,first,level_shift,5.0,42,diff_score,percentile,0.05952380952380952,0.06493506493506493,0.06211180124223602,0.024019458802067496
ETTh1,nlinear,24,first,level_shift,5.0,42,rolling_zscore,percentile,0.21739130434782608,0.12987012987012986,0.16260162601626016,0.010945576162967468
ETTh1,nlinear,24,first,level_shift,5.0,2024,residual,percentile,0.4557823129251701,1.0,0.6261682242990654,0.024249772658381328
ETTh1,nlinear,24,first,level_shift,5.0,2024,raw_zscore,percentile,0.0634469696969697,1.0,0.11932324131789848,0.2997878144892392
ETTh1,nlinear,24,first,level_shift,5.0,2024,diff_score,percentile,0.06097560975609756,0.07462686567164178,0.06711409395973153,0.023340406183692028
ETTh1,nlinear,24,first,level_shift,5.0,2024,rolling_zscore,percentile,0.1702127659574468,0.11940298507462686,0.14035087719298248,0.011821764170960897
ETTh1,nlinear,24,first,level_shift,5.0,3407,residual,percentile,0.5,1.0,0.6666666666666666,0.02403407362336477
ETTh1,nlinear,24,first,level_shift,5.0,3407,raw_zscore,percentile,0.07502374169040836,1.0,0.13957597173144878,0.29631883176148466
ETTh1,nlinear,24,first,level_shift,5.0,3407,diff_score,percentile,0.04878048780487805,0.05063291139240506,0.049689440993788817,0.02372984484332218
ETTh1,nlinear,24,first,level_shift,5.0,3407,rolling_zscore,percentile,0.18604651162790697,0.10126582278481013,0.13114754098360656,0.01064800730149072
